Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.........1...65...7.29...5.9..3...253.....7....64..93.2.4..7.9.67......2...15....,26,46,9,0,0,0,0,0,0,Easy,
13...2..9......1..5........9.7....5......1.6..5..68..77951.3....28..5.......7....,24,176,17,4,1,1,1,18,28,Expert,
..643...992...75..7.3..5..4.............5.8..5...9.7.3....8.9.........2.68..793..,26,43,11,0,1,1,0,1,0,Expert,
36.829.1.9.56.................2....54.1.9......9..3.2..8...4...6943.18..1........,26,50,5,0,0,0,0,0,0,Easy,
...6..4....15..........2.5..1.....67.53..6.8...6..45.2...4.......53.....27..1.8..,24,43,14,0,0,0,0,0,0,Easy,
.4...2.3..96..1.581..3....99...4.5..6.25.3.......19........5.814......6..........,25,43,13,3,0,0,0,0,0,Intermediate,
..4.26.3.7.....6........2.52....5....89.32....36..8...4..8.....6925.4..7.7.......,26,37,18,0,0,0,0,0,0,Easy,
5...93.27...4..........231......5.......6.1.....31.79664...7.........2..1.25...64,26,54,1,0,0,0,0,0,0,Easy,
5....489.9.7.....1....5.6..1.....9...7...........184.....4...5..5..8634.3....51..,25,105,23,4,2,3,0,15,22,Expert,
.....87..7...5..1........9.5....7.3....3........8965.14.71....9..5.49.633...8..7.,27,47,7,0,0,0,0,0,0,Easy,
...96.7..5.8...3..2...8.....25193...91.......7.6.5...86...185.......2..........6.,25,47,9,0,0,0,0,0,0,Easy,
.2......8.869.32...5.......2.....3.......8.9..3.425...4.75.2...5..397........46..,26,50,5,0,0,0,0,0,0,Easy,
.........82.3..6.13.1........76.21..4...9....68...12........3..74.........9.38742,26,47,8,1,0,1,0,0,0,Intermediate,
.......8....1....38......4.73..2.........8..64..6.127..8.....2...4.928...79..4.1.,25,50,6,0,0,0,0,0,0,Easy,
42......81..7..5........21..85..4..16......5.7..6.2.....64.5...2.....37..34......,25,26,30,0,0,0,0,0,0,Easy,
.7.1.34.632...........4.....6.....9.8...7412..1739....1.3..6....8.......7.....91.,26,40,15,2,0,0,0,0,0,Intermediate,
54.7..6.8..8...4.91........43......6...6.1..4.67....3...4.8.9.7.79...5...1..7....,27,49,5,0,0,0,0,0,0,Easy,
5.........4..8.96..3..7......1..97..4......8..63.....5...1.......975.834..49.6.7.,26,36,19,0,0,1,0,0,0,Intermediate,
..35....6...72.....96..4.51.142.............3672...1..9.5........16..4..2..1..3.5,27,73,7,1,1,1,0,4,4,Expert,
.3.......54..1268.....4....1....4..8..5..3..96...2...1...6..5...1..5..4.8....9...,24,34,23,0,0,0,0,0,0,Easy,
..3.......8..3.7....4598.135..1..9.8....4......2...1.59.8.2..5.....5...7.......91,26,73,18,1,0,2,0,4,6,Expert,
364...2...815.6.93.5.....486..1.8.............389....5.4.65.......3.9....9...2...,27,54,0,0,0,0,0,0,0,Simple,
.48..1.933...79..5.....8..6.3...5..49.64.3....571.....7....4.31.1.............5..,27,30,24,0,0,0,0,0,0,Easy,
81...3..5.3...9.4.......12.3.6..8..45...9......9....5.1...2...........32.93..658.,26,29,26,0,0,0,0,0,0,Easy,
9.5...4..7....1........6.53.83....7.4......3...6..75..8.94....5...1..6....4...89.,25,48,8,0,0,0,0,0,0,Easy,
9...4..524.7........1...74...38....5....24.898..5.74...352.........8.........3...,25,45,11,4,0,0,0,0,0,Intermediate,
........34.7......39.84...6.8..372......6...4...4..6....297..5......8..9.......4.,23,38,20,0,0,0,0,0,0,Easy,
439.........2...5.2..4.3..8....5......8..4.397..8..5..5.4....62..6.....7.....9...,24,55,23,2,0,2,0,2,2,Expert,
.1.78...4..9..3....5.1..6.......5....7.6.8.3.5..39.8..9.......1...57...6.........,23,36,22,2,0,0,0,0,0,Intermediate,
............4.3...1.....9.3..6.2..3773...1.....95....69...1.57......5.9..629.....,24,46,11,0,0,0,0,0,0,Easy,
......6.2....57.....5...3.17..2...144...............6...1..5....5.946...9.672....,23,37,21,2,0,3,1,0,0,Intermediate,
74..8..9.8.6359.........81.....15.8.9..7.4.5..7..9...1....7..3............5...6.4,26,43,12,0,0,0,0,0,0,Easy,
.7..84.3.............71.2....4..9...26...3..1.38.......8......6.23.7...4.1..6...2,24,49,8,5,0,1,0,0,0,Intermediate,
6...5..7..82...53.9..6...2.........5..479..6..9..4.......2.......346...7...9.7..2,25,36,20,0,0,0,0,0,0,Easy,
.54........28.....9....7......1..7533..........5.7..2.1..38.4.5.7.9.1.8...3....19,26,80,6,6,2,3,0,4,4,Expert,
16.8..94..2.9...........3.6......2.8.......1.....18.69.9.2.4....13.56.....2..9..5,26,49,6,0,0,0,0,0,0,Easy,
....74.85.5....21.71.....3..91.8......579.1....8....52.....3...9..5........419...,26,43,11,0,0,0,0,1,0,Expert,
..3.....2.....78..8..6...742....36.157...2.8..3...1...65....1.......8.......4.5.7,25,55,1,0,0,0,0,0,0,Easy,
.......9..385.....6.1.4.3....748...3.85...4..4.3...7.6............97......436.8..,25,34,22,2,0,0,0,0,0,Intermediate,
......3..3..1..2..25.9..8.47153......9.71...5..........7..3.4....94.....82.59....,26,46,9,0,0,0,0,0,0,Easy,
.2...51.75..27.4.....6.........6.8...18..72.9........5............946.8....8129.4,26,50,5,0,0,0,0,0,0,Easy,
9...........1..3.4....4..6..213..6....6..95.....2...4.4....69.5.1..7....7....2...,23,52,6,0,0,0,0,0,0,Easy,
9..5..62...6..83..8.4.........2...5........3.2.54..9.....914....12........9.6...4,24,46,10,2,1,3,0,1,0,Expert,
.6...97...9...6...5.4...1......3....8.....4.1..5.1.8.7..7..4.....3.58...4..9....8,24,49,8,0,0,0,0,0,0,Easy,
5.9.2..64.3.6.....26....7......7...3..1..4.2.3..219....2.94..7......6.1.....3...6,27,38,16,0,0,0,0,0,0,Easy,
.1..9.3.........2....8.3...2..3.7....78....1.593........5.3..42.....4.974..98....,25,38,18,1,0,0,0,0,0,Intermediate,
.12..69.......2..3...9.8..656.....317.9........3...89....6.5.1..85.7...2.......6.,26,50,5,0,0,0,0,0,0,Easy,
4.............3..8.3.8.5.46..51.7.....24.6.........3..2.6..17.4.5.6.2..........8.,24,47,10,0,0,0,0,0,0,Easy,
..1......3..6..2.5.4..2.71...3...........1.5.....39....5....9.6...9.6...62.34...7,24,47,10,0,0,0,0,0,0,Easy,
.8.....5...6..724.154..2.36.71.5..6......4....3......1..87...........6.....3.1824,27,49,5,0,0,0,0,0,0,Easy,
..1......5..8.....48...5.7.7......3..934...15.5....7....9....5667.3...8.8....1.4.,26,42,12,2,1,0,0,1,0,Expert,
5.3..7...............53..71....1.8...1..52.39.....6.1..6....98..8...5..3732.98..6,28,33,17,1,0,1,0,3,0,Expert,
...7.2.......1....786.4....4.2.518....8....5..1.36....2.583761.637...............,27,54,0,0,0,0,0,0,0,Simple,
....4.6...1.......865......4....9.5.3.8.......57.3.48...6.5..97..9..71........8.6,25,54,2,0,0,0,0,0,0,Easy,
...1...3696.3.45..5...9...7.7.6....419..37........5.9......3.12.......7.2....14.9,28,40,10,3,1,3,0,3,0,Expert,
2.8.....35....8..1...473.....2..4...1...5..8.9.4...12..9.5........9..74.......8..,24,43,14,1,0,0,0,0,0,Intermediate,
....8......4.....59..4...8.....5.91.3.9..........236.84...12.......9.5..8.6..5192,26,41,27,0,0,0,0,2,2,Expert,
27.5.9........8.6..85...2..4...7..89......1...29.....4.4.7....5.........8...4.6..,23,55,16,3,0,0,0,2,2,Expert,
..8.3.......1.6...62.58.7...35.7.....62...4..4.........4..1..3....3.7..61..8.....,24,50,7,0,0,0,0,0,0,Easy,
.943...1.5.....6.3.......2.3...8.1..........9....2.....58..2...1...348..9.26...54,25,51,5,0,0,0,0,0,0,Easy,
7.1.9.4...9.5.....8.3......27.....8..1...5...4.8....2....4.2.53......2...4.35.871,27,49,5,0,0,0,0,0,0,Easy,
4....2..81.385.....7.34.9.5.......92..5....8..........2...7.3....8...174.1..3...9,26,55,0,0,0,0,0,0,0,Simple,
7..683.2.39.....47..1.......3.9.....9..4612.......8.......46...........6.42.7..98,26,45,10,3,0,2,0,0,0,Intermediate,
.468.1..9...2....1..........97..............21.4.....8..9.648.....57..96.5.1..2.4,25,42,14,0,0,0,0,0,0,Easy,
...1.98..6.4..75.2.7..4.........5...........5..89......897...5.2..4..9..5.....786,25,52,4,0,0,0,0,0,0,Easy,
..84.9..6....83...52........5..6.......2...........5.4..36.49..4.....2...6..3..47,23,30,27,2,0,0,0,1,0,Expert,
....8......8...2.4.4.....1.2...54.3..1..93.4...921.5...2.....9...47.91..3...2...8,27,44,16,2,1,2,1,4,2,Expert,
9..7651.....4....6......985.83....4....87....6.93...1.......4.8....5.76......1...,25,41,15,4,0,0,0,0,0,Intermediate,
.4..98.7...9.2.3...3..1.........7921....4...8.......3.......64.3.82..79.2......8.,25,53,2,1,0,0,0,1,0,Expert,
..2..4..5..6.9.1..3.5..6.4853....9...19....832...6....9...52......1.....8.....5..,26,36,19,2,0,0,0,0,0,Intermediate,
..8......543.....867...1.......185...3.26.......5..1.78........4....2.3..6....254,25,43,12,4,0,0,0,1,0,Expert,
.3.8....4.....6.....8..5.72.8745.....6......95..3......5..724.84..6..7....2...6..,26,26,29,0,0,0,0,0,0,Easy,
26...4.8....1.76..8...69..4.2.7.6..1.......9.1845.....4.1........8.....567.......,26,41,14,0,0,0,0,0,0,Easy,
..7...5....438..16.36..7..4...4.......5....237..1.56.................3...1..2.87.,24,49,8,0,0,0,0,0,0,Easy,
...1.....7.1.9....92.......5..93....819..2......6..1...7......5...38..293.....6.7,24,34,23,0,0,0,0,0,0,Easy,
7.....89.5.9.26..3.....3..6....1.9....68.7...8..25........7.3...91...7.....3.1...,25,46,9,0,0,1,0,1,0,Expert,
....2..64..7...9.2.....9.........1..2...73.4..4.9.63.7.5.194........5.3.49.2.....,26,32,23,1,0,4,0,0,0,Intermediate,
...18..76....3..2.2........7.1..5..26.9.1.....3....85...7...5..8...6......3....67,24,39,18,0,0,0,0,0,0,Easy,
5..9.....9..5.8..1..2.1......4......15.....6969....7....589....8..6.4.1......2.4.,25,29,24,3,0,2,0,3,0,Expert,
5.4.......9...2....8235.9.13.8...14.9.....6......9...3.6....328..1..8..4..5......,26,56,10,0,0,0,1,2,2,Expert,
..9..3.4..13.85....8.6.....9.....1.5...29........6..3.2.....4..5..9362........9..,24,25,32,0,0,0,0,0,0,Easy,
.....4.1..12.6....486.......3....6.486..7.9....7.9...19....74.8.....619..7.....3.,27,42,12,0,0,0,0,0,0,Easy,
.8.54.1....91..8..5...7.9..3.52....9........4....3....7...1.23...3.8.57.1........,25,44,19,1,0,1,0,5,2,Expert,
.3..1....6.7.........78..3..63....51..2.5.7...19.....8....95..3......8....183.27.,26,71,16,3,0,2,0,5,4,Expert,
76.8.....8..15.36.5....9..2....2.9.7..........3.....21.986..7.......5....1...3...,24,44,13,0,0,0,0,0,0,Easy,
..5.4.73..9...36.....2..4......3.9.7.2.........8.......6...9..88...6534..39..4.5.,26,49,23,2,0,0,0,5,4,Expert,
.......8.8....6....9.3.2...4..8....62.5..3...3...64.75....37.5...24...6....9.5..3,26,42,13,1,0,0,0,0,0,Intermediate,
.3......8.9...2..74.....15..4..5...21.3....8.7........81.5...3....34.......7.8..5,24,50,12,3,0,3,0,4,2,Expert,
178......2.........948..1..9..128..7......2.....3....98..6..........7.3...6.82.74,25,61,34,4,0,1,1,6,8,Expert,
.58....1.4......5...1.2..9.92..8......59......84.1......28.196.....96.7..7.2..1..,27,57,13,0,0,3,0,3,2,Expert,
..1....6..32.9.....8.6451........8.2.....2346.......9...8.3.....2...9....4...8951,26,38,15,1,2,1,0,2,0,Expert,
.6...2.....1...5..3.9.16.8.4...9......56.1..96.825.......124...9.....4...8...965.,28,36,16,1,0,2,0,1,0,Expert,
.......6.....2..3......82..5.6.42.8..31.9...2..9.3.4...8.6..19.1.....8..6.5......,25,36,20,0,0,0,0,0,0,Easy,
....345.....8572.....6......5.4..9......8......9.637.89...75....62.....75.8...4.2,27,34,20,1,0,0,0,0,0,Intermediate,
.......68..5.7.....9....1..13..9.6..46.3....1.....8.9..7..86.539........3.......7,24,52,5,0,0,0,0,0,0,Easy,
..6.....8.5.......4.....7..3...9..8..4.7...9...5..1..38.....6.161.3.847...3......,24,48,9,0,0,0,0,0,0,Easy,
.2..1.....49......7.8..4.....43...219.72..3...3....4....243.5.....82.97......9...,26,31,24,1,0,0,0,0,0,Intermediate,
........76...4.8.3821......29....6.....7..91..84......9...23..8.3..7.......9.1...,24,39,18,1,0,0,0,0,0,Intermediate,
54.............5.9......1..396........83..4...7.5..8.6..1..87.....4.6....8..37.54,25,38,18,0,0,0,0,0,0,Easy,
.5...69.........43....4.62.16.3..25..2....1......6....5.1.....7.3...5..1....79...,24,42,15,0,0,0,0,0,0,Easy,
1....6.3..8....4....4..586..4.........1.78....379.1.5.4..69.5..9..8..14..5.1...9.,29,35,15,0,0,0,0,2,0,Expert,
4..8....3.9..6..4.582.....6....8.4.....4.9......5.1....48..26.91.3...2......3...8,26,39,16,1,0,0,0,0,0,Intermediate,
..7...8......9..1..598..3......13......7...4.1.39.....38..2.9...2.4...........5.4,23,72,32,1,0,5,0,7,8,Expert,
.....3...2..49...7..821..3....8.5..4.........34.7.1.8....3..7...32.5..9.8.9..2.4.,27,68,21,5,0,1,0,9,14,Expert,
.....4..1.5......82...........4..5...3....17.97..3.28.14..57...78.9.....52..13.9.,27,49,5,0,0,0,0,0,0,Easy,
56.89....7.....32.83.....6.............2..5.46.75.....9....548....7....9....24..6,25,34,22,0,0,0,0,0,0,Easy,
46.53.....9.......5..8..4.....974.86...6.2.......5..4.....8..6.6....7..297.2...5.,26,36,19,0,0,0,0,0,0,Easy,
3.1.6..4...2..7.5...4...16..8.2.6...1.....4......3.6.8.2......3....7..1.7..8.....,24,32,25,0,0,0,0,0,0,Easy,
.2.3564.9.......7.5.....3..7...3..9....2........1......4.7....1..2.1.6...954....7,24,47,10,0,0,0,0,0,0,Easy,
65.3..21..2.......748.........2.....3.1..8.2.....56.......2..4.5...87..68..1.....,24,57,0,0,0,0,0,0,0,Simple,
.3.45...17.6......1....685.......725...7..3.......1..........3...5.286..6..31..82,26,50,5,0,0,0,0,0,0,Easy,
.54...2.7..91..4.......5.9....71.....419....32.........1.579..8.......21.......3.,24,48,9,0,0,0,0,0,0,Easy,
78....5..1..5..37...6.....1.....5.......1...8..9..36..4.....9.5.5.4.7.366.3...1..,26,59,21,1,1,0,1,4,4,Expert,
........9........5.76...18...31......8.2.531...78..62.21.78....73.9.......9.1....,26,44,11,3,0,1,0,0,0,Intermediate,
....1...93..6.4...8............2..9456.1..3..93......8...24...1..859......1..39..,25,39,16,2,0,1,0,1,0,Expert,
8..3.1...946..8..............91...87.5..36.....1.......3..5.1..67......4..4..7.6.,24,51,6,0,0,0,0,0,0,Easy,
......9.....7..4621.63......6...823........49....2.8....8.92...4.........17....24,24,37,20,0,0,0,0,0,0,Easy,
19...8....4.52..78....4.1.2........56.9.......14..2..7...........58....1.816.9...,25,41,15,0,1,3,1,0,0,Intermediate,
987..5.4........9.4......37....6372...3....6.5..8.......4......3..5..689...9..2..,25,42,14,1,0,0,0,0,0,Intermediate,
8....76...7......89.48...2......5....9......4.4.....516...28.1.....6......54..79.,24,60,13,0,1,1,0,2,2,Expert,
.......528...1.9.3359.4.1.6.8....6..4.1..92......5.............643......19...8.4.,26,49,6,0,0,0,0,0,0,Easy,
.4.....26........7...68..4.4....5.......2....6...9.8...69..7.5..78..34.....5.....,22,41,18,1,0,0,0,0,0,Intermediate,
..645......32.....57.6.....6....231..21...9.4....7.56...27.1.......6..5.3........,25,31,23,0,0,1,0,2,0,Expert,
....2.3..78....1....3......4.........18..579.93....4.5...19..3..54.82..7.7..5..21,28,45,11,4,0,0,0,2,2,Expert,
..4......3..7.164.6....9.1.8.........563....8943....561...5.78..6......5..8..3...,27,64,19,0,2,2,1,6,6,Expert,
......6..45....8......98.2.9.4..2...68...7.9.......5.4.7...94.82..7....1.4....75.,26,42,13,0,0,0,0,0,0,Easy,
.1.56.4..5....8....2...1..6...85...9.8...7..3...3.......1..62.4.....3.8..42...3..,25,67,15,2,2,3,1,3,2,Expert,
..3..9..6..96.....2...........5.4.931.8.....4....91....1.....4.53.2....88.6....2.,24,40,16,1,1,0,0,1,0,Expert,
....572969....8.7...2...5.339.7....2..4.......78..6....6....8.4.....2...82..6....,26,45,10,0,0,0,0,0,0,Easy,
...5..3....2.76....5.....2..........7....2.1...31..2..3.....6..6...578..4.1....37,23,37,19,2,0,2,0,2,0,Expert,
........92...63..........1.4....162.......8......82..56..8..9...48..5..212..3.54.,25,36,20,0,0,0,0,0,0,Easy,
...2..4....2.5.....95.6.8....6...3.9.....1....3......1.51.8....4.8...63.....3...5,23,42,15,3,0,5,0,1,0,Expert,
7.6.82.45......8.62....43.7549......8...7.......3......8..63..26.7........4.28...,27,43,11,0,0,0,0,0,0,Easy,
9.....4...........71.......8...3..7..3...894.4.5....8...21....55..7.93......42..1,24,44,13,0,0,0,0,0,0,Easy,
2...91.63.....3.....98..2...8.4......12..........3....1.4..8.2...6....9..9.26.4.7,25,44,11,1,0,0,0,1,0,Expert,
.25...7..6.3........4.9.....625.........3.5.....9.7..2...4..9...5....83.93865..2.,26,48,7,0,0,0,0,0,0,Easy,
..5...8.13..6....9....3.2......7.........6327.2.......6....2..89..8..65..73...9..,24,34,22,2,1,1,0,1,0,Expert,
.1.4..7..4..97..5......6..4.7.......5....4.87....5.9.6.......68....6.1..1..587.29,27,40,14,0,0,0,0,0,0,Easy,
3.91....4.6..2.5.952.7.93....3.....7742.....1......4.52.14....347............5...,28,36,17,1,0,0,0,0,0,Intermediate,
42..1.79...8..............2..468..3......162417.......91..7..83........18.....47.,26,42,13,0,0,0,0,0,0,Easy,
..7..4.6..8.6......2....49....27.1.33.......2.16...........97..738..1.....2....3.,24,57,21,0,1,7,0,2,2,Expert,
.....29...5.....3...4.....1.2..193.7......1...9...6..5.46.5...9.7..91..4....6.7..,25,73,22,0,3,3,0,7,8,Expert,
3........74....56..15...9...........67.3...4...4..7..89.84....31...9.....6.73..8.,25,46,10,0,0,0,0,0,0,Easy,
....4.1.32.3..584..6.1...57..42.....5....7.3.....5..71.........3..8.1...7.5.....8,26,58,28,2,0,1,0,3,2,Expert,
......19.92.4.1.8.........45..9...18.8....5....4...92...3.9.2.6...6.3.4...18...3.,27,121,34,1,0,0,0,15,18,Expert,
..9..5..62...1..9.6.......1..8.........35..7...1.6..838.....75.157.92.38.9....2..,28,53,0,0,0,0,0,0,0,Simple,
1..92.65..4....1........29.56.8...4....56.......2..3..8...........4...2.253.....8,24,33,24,0,0,0,0,0,0,Easy,
.4..2.....3...65.2.....94..7....5......8.3.....2.4.8....8..7...3..6.......7392..6,24,56,1,0,0,0,0,0,0,Easy,
....9...1..93......5..4.7....2....547..2...9.....158..8.45.9....21.......7...39..,25,38,18,0,0,0,0,0,0,Easy,
4.9....5.35.7.98.4....8.1......3......2..7......8.4...53.9..48......1..72.....3..,25,35,21,0,0,0,0,0,0,Easy,
56.....4.2....18......37.2..5.7....4......23.....63...8...1...3...25...7.....46..,24,27,29,1,0,0,0,1,0,Expert,
..1....5.52..7.816......2.4.9.....2.....5.46.14.......9.2....8.48..651..6.......7,27,45,7,2,0,2,0,2,0,Expert,
76.....3.5...36.1..814....6.3....2....5....8.....1.........3....741..82..2....54.,25,39,17,0,0,0,0,0,0,Easy,
.3...4..649....15..6....8..84.....6....8.1.4.......52.5..1..3...14.........23....,24,38,19,0,0,0,0,0,0,Easy,
.7...96..9.64.1.....1.26...6...4...2..9.8..4....2..5.7....5..7...4.........7...9.,24,45,12,0,0,0,0,0,0,Easy,
..5...1.2..85...76.9..1...872.9...61.8.4.6.............7.8........69....9....4.5.,25,69,21,0,0,2,0,4,6,Expert,
.4....6.5..5..1..9.796..8..26.7.9..85..8..2..1............9..177..1.2............,25,34,22,0,0,1,0,0,0,Intermediate,
.8........67....8...43.......1.294..9....7..2.....431.6...982.3...........2...8..,23,42,16,0,0,0,0,0,0,Easy,
..9....4...82.3.1.6.3.4......45.6...8.6...3...3......4.....9....27...8...6..579..,25,40,15,1,0,4,0,1,0,Expert,
....6........5318..3.8.1....832......4.......26..1....5..6...274.7.85.3......74..,26,52,3,0,0,0,0,0,0,Easy,
..37...45...1.23..5.28...7.4893..............7......8...4....9.....14..2..8.2.4..,25,55,21,1,0,2,1,3,2,Expert,
2.9..385.........984...13...8...56..3...16..4...4.81.35.............9...6..5..4..,26,38,17,0,0,0,0,0,0,Easy,
6....2...4.37...8.......7...381...5....3...2.1...65...7.2.1...8...42.5....5...31.,26,46,13,1,1,4,2,4,2,Expert,
...2.643...29..7.88.........8...5....5.7.9..276..3...5.2...........67...5.....6.3,25,31,24,0,0,0,0,1,0,Expert,
.........6...4538......3........1....72..4.....375.64..65...8738......6.3....7.1.,25,38,18,1,0,0,0,0,0,Intermediate,
...23...9..34.15...1..8..2.5.4.9...27...2......83.59........4..4.27.........1...7,26,44,11,0,0,0,0,0,0,Easy,
3...64..9.....1....4.2....8.5.9.......2..8...9..32.....6..15.9.5....261..89......,25,40,16,0,0,0,0,0,0,Easy,
.3491.5...6.3..7...17..2.4..23.........7.......9..6.......9...6..5...49...643....,25,42,14,1,0,0,0,0,0,Intermediate,
....4.....4.1.8...59.73..8.67..5..93..9.....785.3..1.4...9.7...7...1.......684...,28,51,2,0,0,0,0,0,0,Easy,
79....4...3..4..........23...3.....9.1..2..5497.8143..8.......2...179.8..5.......,26,46,9,0,0,3,2,0,0,Intermediate,
.......28...264.....6.....91..72...6...619..........3..4..7...2.2.39.4.18..4...6.,26,38,17,0,0,0,0,0,0,Easy,
52.4.9.6..9.1.78..1...52.94........24.....1..6......5.....2..7..1....5.9..6..5..8,27,44,10,1,0,0,0,0,0,Intermediate,
9.53.........62.9.3....51.7..6..........2.97.....83....8...96.21..8.......9.3...5,25,36,20,0,0,0,0,0,0,Easy,
.64.81..38..5.7..17.3..4.2..4..6..7..........3....82........5..6...5.3...7.1.....,25,46,10,2,0,0,0,0,0,Intermediate,
...74....4....52...86..9....754.26.1...........86...7.....2.4......17...569......,24,60,10,2,0,3,0,5,2,Expert,
.147.....7...5..43.8.........6.....8..7....3.1...2.7.6.....21...25....8....37.5.4,25,64,14,0,0,0,1,3,2,Expert,
..1.35..7.7.1.2.....3.4.2..3..4...5.65.2.9.1...2.....4....9...........43..9.5....,25,48,23,2,1,1,0,3,2,Expert,
.71.......96....2..........9.7.3.....2..674...4..2...8.3..4.189...2...7....89.24.,26,48,7,0,0,0,0,0,0,Easy,
...9......3......798.62.....2..7...87.85.......93....265....3.....26..4.2....37..,25,33,23,0,0,0,0,0,0,Easy,
.4..79.....2....3.9.8.1....4.58...2...349.....1.........9.8....7..1..4...3...5..1,24,34,23,0,0,0,0,0,0,Easy,
.....1...5.......9......54.7....6....96.4...1..8..9....5..67.943..9....8..4..3...,23,60,22,2,0,1,1,2,2,Expert,
9.32..8.5....5....8..7...1....9.1..47..52...82........4.8.3....1.9....3....1..9..,25,113,16,3,1,4,1,8,12,Expert,
53.97..2.4.7...3.19.2....7......5.18.8..3.7.....4..9.........3...1.....9..93.....,25,48,22,1,0,0,0,4,6,Expert,
.74.6....6..29....25...1......1.4.....5....9..6.....345...2...7...4..91.4..6.35..,26,53,8,3,0,1,0,6,2,Expert,
..7.9..2.4..27.8.93...81...8....9....14........9.1.538......941........7.5....2..,26,41,14,0,2,2,0,0,0,Intermediate,
2....5..6.893....4.5.8...........6.2......54996........25.184........8..1..9.3.2.,26,55,0,0,0,0,0,0,0,Simple,
....8...1..1......4..51..822..4....8.152...9..6....7.....1.9......7.694.6........,24,37,20,0,0,0,0,0,0,Easy,
........6.......3..7.3.8....8471.6.....54....35...6....4..51.9...1.....5..94...73,25,52,4,0,0,0,0,0,0,Easy,
1....47.8..7.93..4..571.2.......84.15..........1.49.2.23.....4..........9.......5,25,46,10,0,0,0,0,0,0,Easy,
.....8.4..9....37.8...7.1..5.8.49.3..7..8.....29.1.7......2..........9..7.1.5...2,25,42,14,1,0,0,0,0,0,Intermediate,
...2.54....3....6..4.....78..65.....3.1......85.436.1.2....4.875..6.8......37....,27,40,14,0,0,0,0,0,0,Easy,
....62..5...135......74....2.....7..4.....3..6..25....12...4..9.3....61...7.2..4.,25,49,12,0,0,2,0,3,2,Expert,
....9.7....62........47.2.3..5.....4........971.3.....5.2....1.14......596.7...2.,24,49,8,0,0,0,0,0,0,Easy,
9.27.3...1...2.4....7..6..3.1.4..3.74.83......7.6....9......7.......8..2..3..46..,26,43,12,0,0,0,0,0,0,Easy,
..7..4.8.2..17..5...53..1..9.2.......7..18..3.8.7.92.44.......1...9..8...........,25,56,0,0,0,0,0,0,0,Simple,
..4..7.59...9...2459.....1.....86..........65..1........86.4..7.1..9....7..2.869.,26,105,15,0,0,6,0,13,16,Expert,
......65....9...2.586.243....97.....6.3..........9.2...2..3.7.89.....4.3.3...8...,25,50,12,1,0,0,0,5,4,Expert,
..3..49..6....14..9...6........3....814..7....3.1..........5.3.597.48.....67.9...,25,49,7,0,0,0,0,0,0,Easy,
...64...28.2.93....46.7.3..4...8.6..36....87..9...5...9...5....58...6....7.......,26,47,8,1,0,0,0,0,0,Intermediate,
.3.7.........9...3.2.3.8...6......2.39..4.1....78...39............9.2.87.4..81...,24,28,29,0,0,0,0,0,0,Easy,
.48......9...6....325...8...73...69........8.8.9...73....5..4...3.9........4.357.,25,40,16,1,0,1,0,0,0,Intermediate,
........145..73..66......4....8.5.1..48.96..7.6.........6....5457.....8..3....9..,25,45,11,0,0,0,0,0,0,Easy,
...58...9...12......3....7.6.2.9....7...1...5.....6...85..3....1....925.......6.1,23,34,24,0,0,0,0,0,0,Easy,
.9.14...8..37...14...3.975..2..........92.5......578....4.1...3.5....4..7........,25,39,17,0,0,0,0,0,0,Easy,
..6.......1.4...5.42...9.....5......6931.45..14..........6.2.4.2..3..1.983..1....,26,51,4,0,0,0,0,0,0,Easy,
8...3.495..2...........67..9....78545..46...9........7...3........654...2......38,25,48,8,3,0,3,0,0,0,Intermediate,
5...9.......756....76......295......3...42..7...36....74.1.....9...347.1....7.29.,27,48,6,0,0,0,0,0,0,Easy,
.3......9.5.36.4.2...94.......5.............89.2....141..42....68..1...3.4..859..,26,55,0,0,0,0,0,0,0,Simple,
......1..9.216.5...5.3...8.8...157............7.8..36.....7...3...92.8.7.....329.,26,41,14,1,3,1,0,0,0,Intermediate,
..78.3.1.3.8.....51....46.3.............9.4.....7..3...9..4......3.5....8...69.7.,23,40,18,0,0,0,0,0,0,Easy,
....9..8.5....86.28..74....6......1..7..8.4...29...........6.7...4...2.5..5...194,25,27,29,0,0,0,0,0,0,Easy,
5...2...172...8.....8.47....8...6.......51..4.6.4.......18...69..2.6.1.569.....4.,27,51,17,1,0,0,0,2,2,Expert,
..3...1..174.......8...4...3.2...75.8..1....4.5...9..........9.2.17........3.5.2.,23,33,25,1,0,0,0,0,0,Intermediate,
.....2..51...6.3....4..7.6.......4.1.....4.32..97.....54..361.........9.....2...6,23,44,13,1,0,0,1,1,0,Expert,
7.4..6.8.1.....6....3..9..4.....4531....6........31.9.........7.1..8..5..5....1.9,24,38,19,1,0,1,0,0,0,Intermediate,
68......5...53..7....8.1....1..5..2.23.91............8........63.9...15.865...9..,25,27,29,0,0,0,0,0,0,Easy,
...186.5..783...6..........51.73...4..4..8.....76......95......1..9...3.4..57....,25,38,16,1,1,0,1,2,0,Expert,
.3.....6.......2...51........83.......67..15.......3.9.6..2.57.1..8.....7..69.831,25,48,8,1,0,1,0,0,0,Intermediate,
